Class,"_defaultColorIndex","id",Model,PA
"Class 19","2","swin_unet_def_sufl_1","swin_unet_def_sufl_1","0.7245177626609802"
"Class 0","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.9408798217773438"
"Class 1","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.6642948985099792"
"Class 2","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.8756853342056274"
"Class 3","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.28702232241630554"
"Class 4","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.2936682105064392"
"Class 5","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.48843252658843994"
"Class 6","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.47693395614624023"
"Class 7","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.3827417492866516"
"Class 8","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.8557090759277344"
"Class 9","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.5781078338623047"
"Class 10","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.9543941020965576"
"Class 11","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.5181246995925903"
"Class 12","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.01931978203356266"
"Class 13","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.9108240008354187"
"Class 14","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.4829086661338806"
"Class 15","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.6566983461380005"
"Class 16","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0"
"Class 17","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.08235591650009155"
"Class 18","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.031138790771365166"
"Class 19","1","mamba_unet_def_sufl_1","mamba_unet_def_sufl_1","0.7650082111358643"
"Class 0","0","unet_original_def_sufl_1","unet_original_def_sufl_1","0.9419085383415222"
"Class 1","0","unet_original_def_sufl_1","unet_original_def_sufl_1","0.6451293230056763"
